System,Optimization method,Metric,Value
BelousovZhabotinsky,Gaussian kernel with sigma=0.5,SMAPE,0.0010217275318482
BickleyJet,Regular KFs,MSE,0.0001802001520076
BickleyJet,Regular KFs,Hausdorff Distance,0.7972626836198774
BickleyJet,Regular KFs,SMAPE,0.0077203289006546
BickleyJet,Sparse KFs with gamma=0.0001,MSE,6.534331213551222e-08
BickleyJet,Sparse KFs with gamma=0.0001,Hausdorff Distance,0.0193884714209592
BickleyJet,Sparse KFs with gamma=0.0001,SMAPE,0.0005054320535374
BickleyJet,Sparse KFs with gamma=0.001,MSE,5.6775435926927365e-08
BickleyJet,Sparse KFs with gamma=0.001,Hausdorff Distance,0.0168142011866514
BickleyJet,Sparse KFs with gamma=0.001,SMAPE,0.000500437727028
BickleyJet,Sparse KFs with gamma=0.01,MSE,1.372316990333318e-06
BickleyJet,Sparse KFs with gamma=0.01,Hausdorff Distance,0.06573252073879
BickleyJet,Sparse KFs with gamma=0.01,SMAPE,0.0019636826666105
BickleyJet,Sparse KFs with gamma=0.1,MSE,5.409997417948424e-06
BickleyJet,Sparse KFs with gamma=0.1,Hausdorff Distance,0.1565763167168686
BickleyJet,Sparse KFs with gamma=0.1,SMAPE,0.0017095668159219
BickleyJet,Sparse KFs with gamma=1.0,MSE,1.2816421385542147e-05
BickleyJet,Sparse KFs with gamma=1.0,Hausdorff Distance,0.2881792397570435
BickleyJet,Sparse KFs with gamma=1.0,SMAPE,0.001677129668781
BickleyJet,Sparse KFs with gamma=10.0,MSE,3.077785834461185e-05
BickleyJet,Sparse KFs with gamma=10.0,Hausdorff Distance,0.3358726485404568
BickleyJet,Sparse KFs with gamma=10.0,SMAPE,0.0091086905626964
BickleyJet,Trained Gaussian kernel,MSE,1.248571182740588e-06
BickleyJet,Trained Gaussian kernel,Hausdorff Distance,0.0689219927890836
BickleyJet,Trained Gaussian kernel,SMAPE,0.0009112520061055
BickleyJet,Random Initialization,MSE,13.347125537230946
BickleyJet,Random Initialization,Hausdorff Distance,106.98440146467324
BickleyJet,Random Initialization,SMAPE,0.3197455802892172
BickleyJet,Gaussian kernel with sigma=0.5,MSE,1.4555452029355118e-06
BickleyJet,Gaussian kernel with sigma=0.5,Hausdorff Distance,0.0770027820281479
BickleyJet,Gaussian kernel with sigma=0.5,SMAPE,0.000159039900804
Blasius,Regular KFs,MSE,2.301926192324344e-05
Blasius,Regular KFs,Hausdorff Distance,0.3066927792390928
Blasius,Regular KFs,SMAPE,0.0074876564630899
Blasius,Sparse KFs with gamma=0.0001,MSE,8.897386551799005e-09
